Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_12_479.jpg;0;0;0;0;99.66999;85.58897;0.0002372911;49.52568;1.451464E-05
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_12_545.jpg;0;0.0978663;0;0;99.67016;85.58916;0.005881359;49.52563;1.014669E-05
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_12_612.jpg;0;0.2984998;0;0;99.67052;85.58961;0.01811831;49.41373;6.374371E-05
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_12_679.jpg;0;0.4992478;0;0.02097344;99.67243;85.59184;0.08080857;49.40069;4.11029E-05
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_12_745.jpg;0;0.6971369;0;0.05294301;99.67565;85.59558;0.1798027;49.37145;-4.028765E-06
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_12_812.jpg;0;0.8991752;0;0.09735015;99.68375;85.60502;0.4210468;49.38416;-0.0001741745
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_12_879.jpg;0;1;0;0.1440024;99.69267;85.61533;0.6466785;49.44038;-0.0005001298
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_12_946.jpg;0;1;0;0.2127714;99.70401;85.62846;0.9045399;49.40518;-0.00142099
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_012.jpg;0;1;0;0.2522725;99.72143;85.6487;1.232145;49.36875;4.51804E-05
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_078.jpg;0;1;0;0.3102626;99.73454;85.66431;1.303615;49.30587;-0.001463079
